Data Table for Total Deaths - North Carolina,,,,
Date generated: Sat Mar 05 2022 21:14:47 GMT-0500 (Eastern Standard Time),,,,
State,Date,Total Deaths,Current Hospitalized COVID-19 Patients,Day
North Carolina,Jun 22 2020,1335,N/A,113
North Carolina,Jun 21 2020,1315,N/A,112
North Carolina,Jun 20 2020,1303,N/A,111
North Carolina,Jun 19 2020,1286,N/A,110
North Carolina,Jun 18 2020,1270,N/A,109
North Carolina,Jun 17 2020,1257,N/A,108
North Carolina,Jun 16 2020,1248,N/A,107
North Carolina,Jun 15 2020,1240,N/A,106
North Carolina,Jun 14 2020,1217,N/A,105
North Carolina,Jun 13 2020,1196,N/A,104
North Carolina,Jun 12 2020,1184,N/A,103
North Carolina,Jun 11 2020,1172,N/A,102
North Carolina,Jun 10 2020,1160,N/A,101
North Carolina,Jun  9 2020,1147,N/A,100
North Carolina,Jun  8 2020,1126,N/A,99
North Carolina,Jun  7 2020,1113,N/A,98
North Carolina,Jun  6 2020,1096,N/A,97
North Carolina,Jun  5 2020,1075,N/A,96
North Carolina,Jun  4 2020,1065,N/A,95
North Carolina,Jun  3 2020,1046,N/A,94
North Carolina,Jun  2 2020,1025,N/A,93
North Carolina,Jun  1 2020,1008,N/A,92
North Carolina,May 31 2020,987,N/A,91
North Carolina,May 30 2020,968,N/A,90
North Carolina,May 29 2020,948,N/A,89
North Carolina,May 28 2020,929,N/A,88
North Carolina,May 27 2020,904,N/A,87
North Carolina,May 26 2020,876,N/A,86
North Carolina,May 25 2020,844,N/A,85
North Carolina,May 24 2020,825,N/A,84
North Carolina,May 23 2020,804,N/A,83
North Carolina,May 22 2020,784,N/A,82
North Carolina,May 21 2020,766,N/A,81
North Carolina,May 20 2020,751,N/A,80
North Carolina,May 19 2020,732,N/A,79
North Carolina,May 18 2020,720,N/A,78
North Carolina,May 17 2020,705,N/A,77
North Carolina,May 16 2020,694,N/A,76
North Carolina,May 15 2020,686,N/A,75
North Carolina,May 14 2020,672,N/A,74
North Carolina,May 13 2020,658,N/A,73
North Carolina,May 12 2020,640,N/A,72
North Carolina,May 11 2020,625,N/A,71
North Carolina,May 10 2020,600,N/A,70
North Carolina,May  9 2020,589,N/A,69
North Carolina,May  8 2020,570,N/A,68
North Carolina,May  7 2020,551,N/A,67
North Carolina,May  6 2020,539,N/A,66
North Carolina,May  5 2020,514,N/A,65
North Carolina,May  4 2020,496,N/A,64
North Carolina,May  3 2020,477,N/A,63
North Carolina,May  2 2020,464,N/A,62
North Carolina,May  1 2020,447,N/A,61
North Carolina,Apr 30 2020,433,N/A,60
North Carolina,Apr 29 2020,414,N/A,59
North Carolina,Apr 28 2020,399,N/A,58
North Carolina,Apr 27 2020,384,N/A,57
North Carolina,Apr 26 2020,360,N/A,56
North Carolina,Apr 25 2020,339,N/A,55
North Carolina,Apr 24 2020,323,N/A,54
North Carolina,Apr 23 2020,306,N/A,53
North Carolina,Apr 22 2020,293,N/A,52
North Carolina,Apr 21 2020,273,N/A,51
North Carolina,Apr 20 2020,255,N/A,50
North Carolina,Apr 19 2020,240,N/A,49
North Carolina,Apr 18 2020,221,N/A,48
North Carolina,Apr 17 2020,207,N/A,47
North Carolina,Apr 16 2020,181,N/A,46
North Carolina,Apr 15 2020,158,N/A,45
North Carolina,Apr 14 2020,142,N/A,44
North Carolina,Apr 13 2020,125,N/A,43
North Carolina,Apr 12 2020,107,N/A,42
North Carolina,Apr 11 2020,98,N/A,41
North Carolina,Apr 10 2020,91,N/A,40
North Carolina,Apr  9 2020,81,N/A,39
North Carolina,Apr  8 2020,72,N/A,38
North Carolina,Apr  7 2020,63,N/A,37
North Carolina,Apr  6 2020,59,N/A,36
North Carolina,Apr  5 2020,50,N/A,35
North Carolina,Apr  4 2020,39,N/A,34
North Carolina,Apr  3 2020,28,N/A,33
North Carolina,Apr  2 2020,25,N/A,32
North Carolina,Apr  1 2020,16,N/A,31
North Carolina,Mar 31 2020,13,N/A,30
North Carolina,Mar 30 2020,11,N/A,29
North Carolina,Mar 29 2020,7,N/A,28
North Carolina,Mar 28 2020,6,N/A,27
North Carolina,Mar 27 2020,5,N/A,26
North Carolina,Mar 26 2020,4,N/A,25
North Carolina,Mar 25 2020,3,N/A,24
North Carolina,Mar 24 2020,2,N/A,23
North Carolina,Mar 23 2020,2,N/A,22
North Carolina,Mar 22 2020,1,N/A,21
North Carolina,Mar 21 2020,1,N/A,20
North Carolina,Mar 20 2020,1,N/A,19
North Carolina,Mar 19 2020,1,N/A,18
North Carolina,Mar 18 2020,1,N/A,17
North Carolina,Mar 17 2020,1,N/A,16
North Carolina,Mar 16 2020,1,N/A,15
North Carolina,Mar 15 2020,1,N/A,14
North Carolina,Mar 14 2020,1,N/A,13
North Carolina,Mar 13 2020,1,N/A,12
North Carolina,Mar 12 2020,0,N/A,11
North Carolina,Mar 11 2020,0,N/A,10
North Carolina,Mar 10 2020,0,N/A,9
North Carolina,Mar  9 2020,0,N/A,8
North Carolina,Mar  8 2020,0,N/A,7
North Carolina,Mar  7 2020,0,N/A,6
North Carolina,Mar  6 2020,0,N/A,5
North Carolina,Mar  5 2020,0,N/A,4
North Carolina,Mar  4 2020,0,N/A,3
North Carolina,Mar  3 2020,0,N/A,2
North Carolina,Mar  2 2020,0,N/A,1
North Carolina,Mar  1 2020,0,N/A,0
