Data Table for Daily Case Trends - North Carolina,,,,
Date generated: Sat Mar 05 2022 21:13:21 GMT-0500 (Eastern Standard Time),,,,
State,Date,New Cases,7-day Moving Avg,Day
North Carolina,Apr  6 2020,252,236,36
North Carolina,Apr  5 2020,257,218,35
North Carolina,Apr  4 2020,286,202,34
North Carolina,Apr  3 2020,238,185,33
North Carolina,Apr  2 2020,275,170,32
North Carolina,Apr  1 2020,151,147,31
North Carolina,Mar 31 2020,194,143,30
North Carolina,Mar 30 2020,129,129,29
North Carolina,Mar 29 2020,142,116,28
North Carolina,Mar 28 2020,172,107,27
North Carolina,Mar 27 2020,130,91,26
North Carolina,Mar 26 2020,117,79,25
North Carolina,Mar 25 2020,121,68,24
North Carolina,Mar 24 2020,98,54,23
North Carolina,Mar 23 2020,38,41,22
North Carolina,Mar 22 2020,78,36,21
North Carolina,Mar 21 2020,56,26,20
North Carolina,Mar 20 2020,48,19,19
North Carolina,Mar 19 2020,42,13,18
North Carolina,Mar 18 2020,23,7,17
North Carolina,Mar 17 2020,6,4,16
North Carolina,Mar 16 2020,1,4,15
North Carolina,Mar 15 2020,10,4,14
North Carolina,Mar 14 2020,5,2,13
North Carolina,Mar 13 2020,8,2,12
North Carolina,Mar 12 2020,2,1,11
North Carolina,Mar 11 2020,0,0,10
North Carolina,Mar 10 2020,5,0,9
North Carolina,Mar  9 2020,0,0,8
North Carolina,Mar  8 2020,0,0,7
North Carolina,Mar  7 2020,1,0,6
North Carolina,Mar  6 2020,0,0,5
North Carolina,Mar  5 2020,0,0,4
North Carolina,Mar  4 2020,0,0,3
North Carolina,Mar  3 2020,1,0,2
North Carolina,Mar  2 2020,0,0,1
North Carolina,Mar  1 2020,0,0,0
