Trends in Number of COVID-19 Vaccinations in NC,,,,,,,,,,,
Date generated: Sat Mar 05 2022 21:16:57 GMT-0500 (Eastern Standard Time),,,,,,,,,,,
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,People Receiving 1 or More Doses Cumulative,Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,Daily Count People Receiving a Booster Dose,People Receiving a Booster Dose Cumulative,Day
Admin,12/12/2021,NC,15525,9709,7896435,N/A,2508,5947094,3505,1040008,651
Admin,12/13/2021,NC,40989,21288,7917723,N/A,6122,5953216,14057,1054065,652
Admin,12/14/2021,NC,44072,21171,7938894,N/A,6975,5960191,16381,1070446,653
Admin,12/15/2021,NC,43152,20976,7959870,N/A,6744,5966935,15943,1086389,654
Admin,12/16/2021,NC,45698,22787,7982657,N/A,4604,5971539,18888,1105277,655
Admin,12/17/2021,NC,51245,25478,8008135,N/A,6774,5978313,19391,1124668,656
Admin,12/18/2021,NC,27031,15938,8024073,N/A,3816,5982129,7481,1132149,657
Admin,12/19/2021,NC,17141,11269,8035342,N/A,1922,5984051,4093,1136242,658
Admin,12/20/2021,NC,49717,26616,8061958,N/A,5731,5989782,17684,1153926,659
Admin,12/21/2021,NC,53733,28031,8089989,N/A,5970,5995752,20104,1174030,660
Admin,12/22/2021,NC,51270,27592,8117581,N/A,5887,6001639,18068,1192098,661
Admin,12/23/2021,NC,37983,22541,8140122,N/A,3986,6005625,11701,1203799,662
Admin,12/24/2021,NC,9094,5451,8145573,N/A,1391,6007016,2344,1206143,663
Admin,12/25/2021,NC,39,24,8145597,N/A,3,6007019,13,1206156,664
Admin,12/26/2021,NC,13736,8634,8154231,N/A,2171,6009190,2962,1209118,665
Admin,12/27/2021,NC,37088,21740,8175971,N/A,5029,6014219,10525,1219643,666
Admin,12/28/2021,NC,44570,23561,8199532,N/A,6382,6020601,14846,1234489,667
Admin,12/29/2021,NC,45192,23824,8223356,N/A,6376,6026977,15251,1249740,668
Admin,12/30/2021,NC,45564,24377,8247733,N/A,6238,6033215,15256,1264996,669
Admin,12/31/2021,NC,20529,12463,8260196,N/A,2875,6036090,5448,1270444,670
Admin,1/1/2022,NC,3942,2680,8262876,N/A,632,6036722,799,1271243,671
Admin,1/2/2022,NC,14598,9328,8272204,N/A,2369,6039091,2979,1274222,672
Admin,1/3/2022,NC,32190,18094,8290298,N/A,4691,6043782,9647,1283869,673
Admin,1/4/2022,NC,38625,20203,8310501,N/A,5672,6049454,13024,1296893,674
Admin,1/5/2022,NC,38360,19695,8330196,N/A,5319,6054773,13587,1310480,675
Admin,1/6/2022,NC,41210,20441,8350637,N/A,5690,6060463,15395,1325875,676
Admin,1/7/2022,NC,48463,23950,8374587,N/A,7117,6067580,17743,1343618,677
Admin,1/8/2022,NC,28174,15327,8389914,N/A,4402,6071982,8649,1352267,678
Admin,1/9/2022,NC,14558,9143,8399057,N/A,1884,6073866,3658,1355925,679
Admin,1/10/2022,NC,32326,17132,8416189,N/A,4597,6078463,10838,1366763,680
Admin,1/11/2022,NC,33161,16932,8433121,N/A,4886,6083349,11519,1378282,681
Admin,1/12/2022,NC,32323,15584,8448705,N/A,4805,6088154,12079,1390361,682
Admin,1/13/2022,NC,33618,15735,8464440,N/A,5050,6093204,12887,1403248,683
Admin,1/14/2022,NC,38617,19274,8483714,N/A,4298,6097502,15182,1418430,684
Admin,1/15/2022,NC,19556,11277,8494991,N/A,2099,6099601,6277,1424707,685
Admin,1/16/2022,NC,3329,1929,8496920,N/A,529,6100130,936,1425643,686
Admin,1/17/2022,NC,12717,6951,8503871,N/A,2292,6102422,3585,1429228,687
Admin,1/18/2022,NC,21273,9363,8513234,N/A,4459,6106881,7478,1436706,688
Admin,1/19/2022,NC,22533,9816,8523050,N/A,4823,6111704,7987,1444693,689
Admin,1/20/2022,NC,22983,10529,8533579,N/A,5116,6116820,7378,1452071,690
Admin,1/21/2022,NC,15938,8437,8542016,N/A,2732,6119552,4888,1456959,691
Admin,1/22/2022,NC,6788,3986,8546002,N/A,893,6120445,1957,1458916,692
Admin,1/23/2022,NC,7633,4007,8550009,N/A,1761,6122206,1824,1460740,693
Admin,1/24/2022,NC,17770,8269,8558278,N/A,4146,6126352,5409,1466149,694
Admin,1/25/2022,NC,18864,8108,8566386,N/A,4949,6131301,5835,1471984,695
Admin,1/26/2022,NC,19352,8312,8574698,N/A,4880,6136181,6138,1478122,696
Admin,1/27/2022,NC,19382,8282,8582980,N/A,4849,6141030,6233,1484355,697
Admin,1/28/2022,NC,24518,10613,8593593,N/A,6111,6147141,7772,1492127,698
Admin,1/29/2022,NC,10253,5129,8598722,N/A,2613,6149754,2524,1494651,699
Admin,1/30/2022,NC,6759,3391,8602113,N/A,1887,6151641,1490,1496141,700
Admin,1/31/2022,NC,14600,6387,8608500,N/A,4114,6155755,4098,1500239,701
Admin,2/1/2022,NC,14458,6013,8614513,N/A,4283,6160038,4158,1504397,702
Admin,2/2/2022,NC,14685,5999,8620512,N/A,4166,6164204,4461,1508858,703
Admin,2/3/2022,NC,14337,5654,8626166,N/A,4282,6168486,4405,1513263,704
Admin,2/4/2022,NC,19470,7711,8633877,N/A,5824,6174310,5872,1519135,705
Admin,2/5/2022,NC,11482,5210,8639087,N/A,3384,6177694,2928,1522063,706
Admin,2/6/2022,NC,5019,2654,8641741,N/A,1221,6178915,1136,1523199,707
Admin,2/7/2022,NC,10090,4377,8646118,N/A,2683,6181598,3043,1526242,708
Admin,2/8/2022,NC,11159,4563,8650681,N/A,3440,6185038,3167,1529409,709
Admin,2/9/2022,NC,11342,4594,8655275,N/A,3451,6188489,3268,1532677,710
Admin,2/10/2022,NC,11452,4574,8659849,N/A,3351,6191840,3466,1536143,711
Admin,2/11/2022,NC,13735,5606,8665455,N/A,3744,6195584,4319,1540462,712
Admin,2/12/2022,NC,6924,3399,8668854,N/A,1869,6197453,1669,1542131,713
Admin,2/13/2022,NC,3540,1744,8670598,N/A,992,6198445,803,1542934,714
Admin,2/14/2022,NC,7613,3195,8673793,N/A,2166,6200611,2256,1545190,715
Admin,2/15/2022,NC,9313,3739,8677532,N/A,2903,6203514,2686,1547876,716
Admin,2/16/2022,NC,9059,3608,8681140,N/A,2702,6206216,2704,1550580,717
Admin,2/17/2022,NC,9349,3617,8684757,N/A,2843,6209059,2844,1553424,718
Admin,2/18/2022,NC,12923,5293,8690050,N/A,3622,6212681,3926,1557350,719
Admin,2/19/2022,NC,6270,2936,8692986,N/A,1802,6214483,1529,1558879,720
Admin,2/20/2022,NC,3597,1788,8694774,N/A,980,6215463,807,1559686,721
Admin,2/21/2022,NC,8477,3642,8698416,N/A,2415,6217878,2356,1562042,722
Admin,2/22/2022,NC,7690,3234,8701650,N/A,2306,6220184,2155,1564197,723
Admin,2/23/2022,NC,7859,3299,8704949,N/A,2262,6222446,2253,1566450,724
Admin,2/24/2022,NC,7651,3095,8708044,N/A,2184,6224630,2270,1568720,725
Admin,2/25/2022,NC,10247,4251,8712295,N/A,2924,6227554,2984,1571704,726
Admin,2/26/2022,NC,5703,2673,8714968,N/A,1525,6229079,1459,1573163,727
Admin,2/27/2022,NC,2805,1373,8716341,N/A,811,6229890,606,1573769,728
Admin,2/28/2022,NC,6524,2691,8719032,N/A,1917,6231807,1845,1575614,729
Admin,3/1/2022,NC,5831,2418,8721450,N/A,1617,6233424,1723,1577337,730
Admin,3/2/2022,NC,5608,2257,8723707,N/A,1635,6235059,1679,1579016,731
Admin,3/3/2022,NC,4142,1629,8725336,N/A,1150,6236209,1259,1580275,732
Admin,3/4/2022,NC,1480,791,8726127,N/A,341,6236550,281,1580556,733
